개방자치단체코드,상세영업상태명,지번주소,도로명주소
3180000,영업,서울특별시 영등포구 당산동2가 147-1 지하1층,"서울특별시 영등포구 선유동1로 20, 지하1층 (당산동2가)"
3200000,영업,서울특별시 관악구 신림동 1639-16,서울특별시 관악구 남부순환로 1592-5 (신림동)
3180000,영업,서울특별시 영등포구 여의도동 43-1 유성빌딩,"서울특별시 영등포구 여의대방로69길 28, 유성빌딩 지1층 8호 (여의도동)"
3220000,영업,서울특별시 강남구 삼성동 142-35,서울특별시 강남구 테헤란로 411 (삼성동)
3160000,영업,서울특별시 구로구 오류동 33-73 지하1층,"서울특별시 구로구 경인로 228, 지하1층 (오류동)"
3230000,폐업,서울특별시 송파구 석촌동 1-7 로사나관광호텔 지하1층,"서울특별시 송파구 삼학사로 98, 로사나관광호텔 지하1층 (석촌동)"
3230000,영업,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 114-1,2호 (가락동)"
3000000,영업,서울특별시 종로구 낙원동 173-1 지상2층,"서울특별시 종로구 수표로 116 (낙원동,지상2층)"
3150000,영업,서울특별시 강서구 화곡동 936-3 4층,"서울특별시 강서구 곰달래로16길 26, 4층 (화곡동)"
3000000,영업,서울특별시 종로구 관철동 43-14 지하1층,"서울특별시 종로구 종로8길 15-1 (관철동,지하1층)"
3010000,영업,서울특별시 중구 북창동 19-6 지상 2~3층,"서울특별시 중구 세종대로14길 6-3 (북창동,지상 2~3층)"
3230000,영업,서울특별시 송파구 석촌동 1-7 로사나관광호텔,"서울특별시 송파구 삼학사로 98, 로사나관광호텔 지하2층 (석촌동)"
3200000,영업,서울특별시 관악구 신림동 1639-33,"서울특별시 관악구 남부순환로176길 20, 지층 (신림동)"
3150000,영업,서울특별시 강서구 화곡동 1117-14 (지하 1층),"서울특별시 강서구 화곡로 318, 지하 1층 (화곡동, 6동)"
3180000,영업,서울특별시 영등포구 여의도동 44-24,"서울특별시 영등포구 여의대방로65길 20, 호성빌딩 지하2층 202호 (여의도동)"
3050000,영업,서울특별시 동대문구 전농동 295-307,서울특별시 동대문구 전농로16길 12 (전농동)
3190000,영업,서울특별시 동작구 사당동 148-12,서울특별시 동작구 사당로 293 (사당동)
3080000,폐업,서울특별시 강북구 수유동 174-17,서울특별시 강북구 한천로 1038 (수유동)
3230000,폐업,서울특별시 송파구 석촌동 1-7 지하2층,"서울특별시 송파구 삼학사로 98 (석촌동, 지하2층)"
3210000,폐업,서울특별시 서초구 서초동 1309-6,서울특별시 서초구 강남대로69길 10 (서초동)
3150000,영업,서울특별시 강서구 화곡동 936-3 3층,"서울특별시 강서구 곰달래로16길 26, 3층 (화곡동)"
3130000,영업,서울특별시 마포구 노고산동 57-26 신촌센트럴코업레지던스,"서울특별시 마포구 서강로 137, 신촌센트럴코업레지던스 지하1층 B101~B104호 (노고산동)"
3110000,영업,서울특별시 은평구 응암동 590-4,서울특별시 은평구 응암로 201 (응암동)
3190000,영업,서울특별시 동작구 노량진동 60-29 리바트가구,"서울특별시 동작구 노량진로 125, 2층,3층 (노량진동)"
3200000,영업,서울특별시 관악구 신림동 1639-23,"서울특별시 관악구 남부순환로 1596, 나동 지하1층 (신림동)"
3170000,영업,서울특별시 금천구 시흥동 994-3,"서울특별시 금천구 시흥대로 231, 2층 일부호 (시흥동)"
