포인트 wkt,읍면동명
POINT (126.993110623677 37.5907052211094),명륜3가
POINT (126.992869736745 37.5909712472841),명륜3가
POINT (126.992830178449 37.5911142773992),명륜3가
POINT (126.992830178449 37.5911142773992),명륜3가
POINT (126.992830178449 37.5911142773992),명륜3가
POINT(127.01532670595454988 37.57676664086587692),창신동
POINT(127.01503716409537503 37.57675285159330514),창신동
POINT(127.01495898948046204 37.57675747036184077),창신동
POINT(127.01479104635141937 37.57670448990356959),창신동
POINT(127.0146289154213548 37.57675981614494276),창신동
POINT(127.0146289154213548 37.57675981614494276),창신동
POINT(127.01459417028522125 37.57675751602725001),창신동
POINT(127.01459417028522125 37.57675751602725001),창신동
POINT(127.01427857536695853 37.57677138113117365),창신동
POINT(127.01400353436915225 37.57688433057160893),창신동
POINT(127.01387324499820863 37.57690278130088046),창신동
POINT(127.01379218283379657 37.57695118358165587),창신동
POINT(127.01379218283379657 37.57695118358165587),창신동
POINT(127.01379218283379657 37.57695118358165587),창신동
POINT(127.01363873010481598 37.57696963675589075),창신동
POINT(127.01347080694523584 37.57702496207339493),창신동
POINT(127.01350840219646443 37.57677608061096919),창신동
POINT(127.01347942253032386 37.57663320998995715),창신동
POINT(127.01030651700735064 37.57187864930858012),창신동
POINT(127.01030651700735064 37.57187864930858012),창신동
POINT(127.01043016358867987 37.57196102544308758),창신동
POINT(127.01053943165727844 37.57202509451094841),창신동
POINT(127.01072347755389558 37.57223791099666954),창신동
POINT (127.009577625426 37.5793296463333),창신동
POINT(127.01065735727382844 37.57231114986329601),창신동
POINT(127.01079827862186278 37.57254685538091366),창신동
POINT(127.01078681586901098 37.57281232559729744),창신동
POINT(127.01073223695952663 37.57316934081384829),창신동
POINT(127.01066326080831459 37.57338446861007242),창신동
POINT(127.01070352014502873 37.57342108139927461),창신동
POINT(127.01070927335469207 37.57343938909369996),창신동
POINT(127.01065468188052421 37.57371401726929605),창신동
POINT(127.01065468188052421 37.57371401726929605),창신동
POINT(127.0105051598994379 37.57367054865797229),창신동
POINT(127.0105051598994379 37.57367054865797229),창신동
POINT(127.01064895505845698 37.57388108024825613),창신동
POINT(127.01066622324850641 37.57399550503057384),창신동
POINT(127.01070364100796439 37.57426554780046501),창신동
POINT(127.01074392911417021 37.57449897385929205),창신동
POINT(127.01066348009199203 37.57492235856072682),창신동
POINT(127.01066348009199203 37.57492235856072682),창신동
POINT(127.01062036736678351 37.57504594287380684),창신동
POINT(127.01065489283867294 37.57519469397649914),창신동
POINT(127.01478479592292103 37.57494570713181758),창신동
POINT(127.01478479592292103 37.57494570713181758),창신동
POINT(127.01476755420173959 37.57499834539745365),창신동
POINT(127.01453174488543141 37.57484275486276459),창신동
POINT(127.01453174488543141 37.57484275486276459),창신동
POINT(127.0143218347947851 37.57479243293290239),창신동
POINT(127.01415217374969302 37.57471006643994116),창신동
POINT(127.01415217374969302 37.57471006643994116),창신동
POINT(127.01388188338800944 37.57466661652921402),창신동
POINT(127.01379562608789797 37.57468264632655774),창신동
POINT(127.01379562608789797 37.57468264632655774),창신동
POINT(127.0136519024136561 37.57492066978899459),창신동
POINT(127.01359727739074401 37.5749572925162667),창신동
POINT(127.01359727739074401 37.5749572925162667),창신동
POINT(127.01357429782929387 37.57508545263914357),창신동
POINT(127.01347654308241886 37.57512665731371726),창신동
POINT(127.01327813839814951 37.57509921748019366),창신동
POINT(127.01327813839814951 37.57509921748019366),창신동
POINT(127.01318609666211046 37.5749275883167968),창신동
POINT(127.0130566898446034 37.5748360616421877),창신동
POINT(127.01310269421556143 37.57482919096564444),창신동
POINT(127.0130653090926387 37.57479715573842327),창신동
POINT(127.01297905027519164 37.5748063193595172),창신동
POINT(127.01299341388964592 37.57473079640502789),창신동
POINT(127.01294452313292993 37.57467358861299545),창신동
POINT(127.01283523577963308 37.57453171189902008),창신동
POINT(127.01272596169245332 37.57446535645780727),창신동
POINT(127.01262819144415062 37.57441273084451439),창신동
POINT(127.01260805447375901 37.57435551983067512),창신동
POINT(127.01260805447375901 37.57435551983067512),창신동
POINT(127.01242114320616849 37.57426628710458516),창신동
POINT(127.01242114320616849 37.57426628710458516),창신동
POINT(127.01242114320616849 37.57426628710458516),창신동
POINT(127.01228023454682159 37.57415874109090481),창신동
POINT(127.0122687370118939 37.57418162755367774),창신동
POINT(127.0122687370118939 37.57418162755367774),창신동
POINT (127.009577625426 37.5793296463333),창신동
POINT (127.009642321333 37.5793038951632),창신동
POINT (127.009778895074 37.5792009003143),창신동
POINT (127.009937016153 37.5789577313467),창신동
POINT (127.009922634063 37.5789234046833),창신동
POINT (127.010073596178 37.5789090886168),창신동
POINT (127.010181398792 37.5786973908117),창신동
POINT (127.010296402122 37.5785772332744),창신동
POINT (127.010296402122 37.5785772332744),창신동
POINT (127.010296402122 37.5785772332744),창신동
POINT (127.010452745216 37.5784928301734),창신동
POINT (127.010625243663 37.5782754048889),창신동
POINT (127.010700721755 37.5782525128197),창신동
POINT (127.010700721755 37.5782525128197),창신동
POINT (127.010783379421 37.5781666856043),창신동
POINT (127.01066115862 37.5780751556976),창신동
POINT (127.01086603773 37.5780865796429),창신동
POINT (127.010934309307 37.5779435405114),창신동
POINT (127.01114993442 37.5777089464974),창신동
POINT (127.011308057402 37.5775287100817),창신동
POINT (127.011387133202 37.577534423794),창신동
POINT (127.01151649198 37.5772969767273),창신동
POINT (127.011548835854 37.5772655063415),창신동
POINT (127.011548835854 37.5772655063415),창신동
POINT (127.011861518822 37.5771310244609),창신동
POINT (127.011897455863 37.5770938323037),창신동
POINT (127.011897455863 37.5770938323037),창신동
POINT (127.01208796593 37.577171050688),창신동
POINT(127.018769741175 37.5742486349202),숭인동
POINT(127.018723733672 37.5742394881195),숭인동
POINT(127.018651887638 37.5743882537256),숭인동
POINT(127.018651887638 37.5743882537256),숭인동
POINT(127.018870431856 37.5744637403722),숭인동
POINT(127.018968201918 37.5744980526022),숭인동
POINT(127.018968201918 37.5744980526022),숭인동
POINT(127.018965350378 37.5745918826496),숭인동
POINT(127.018965350378 37.5745918826496),숭인동
POINT(127.019040126669 37.5746605264089),숭인동
POINT(127.019155160261 37.5747383177008),숭인동
POINT(127.019166705043 37.5749076667849),숭인동
POINT(127.019166705043 37.5749076667849),숭인동
POINT(127.019160961378 37.5749351300343),숭인동
POINT(127.019123615744 37.5750678706206),숭인동
POINT(127.019123615744 37.5750678706206),숭인동
POINT(127.01910352449 37.5752097625064),숭인동
POINT(127.01910352449 37.5752097625064),숭인동
POINT(127.01910352449 37.5752097625064),숭인동
POINT(127.01897990074 37.5752761497095),숭인동
POINT(127.018928192824 37.5754683942163),숭인동
POINT(127.01891099441 37.5756812299062),숭인동
POINT(127.018885129289 37.5757338701073),숭인동
POINT(127.018876508327 37.5757544682612),숭인동
POINT(127.018876508327 37.5757544682612),숭인동
POINT(127.018885217124 37.5760817260912),숭인동
POINT(127.018885217124 37.5760817260912),숭인동
POINT(127.018885217124 37.5760817260912),숭인동
POINT(127.018908227817 37.5761114732453),숭인동
POINT(126.96223398492917056 37.57259317803192289),행촌동
POINT(126.96230583071238129 37.57266414533756205),행촌동
POINT(126.96239779314564089 37.57275571575242878),행촌동
POINT(126.96255873825694493 37.57289536706218058),행촌동
POINT(126.96255873825694493 37.57289536706218058),행촌동
POINT(126.96254149464132865 37.57287934190220824),행촌동
POINT(126.9626765593589397 37.5730258504150143),행촌동
POINT(126.96266214983387499 37.57309221314294945),행촌동
POINT(126.96263625630004412 37.57312424432898013),행촌동
