위도,경도,지번주소,도로명주소,이름,확률,index
37.65941359859956,127.05901664710194,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1461,용화여자고등학교,,12
37.65971625065131,127.05897144434827,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로221길 22,대림아파트,,12
37.65957651927481,127.05851896714792,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,12
37.65934794798042,127.05859390376008,서울특별시 노원구 상계동 696,서울특별시 노원구 동일로 1461,용화여자고등학교,,12
37.65954702,127.0595689,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,13
37.65924675777555,127.0593916431664,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,13
37.659702763424974,127.05977301722696,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,13
37.65970707398709,127.05917150953152,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,13
37.65981495185133,127.0599002056436,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,13
37.65941165068618,127.05919703511162,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1461,용화여자고등학교,,13
37.65954702,127.0603789,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65986162658401,127.06066940398055,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65944403125874,127.06011043892858,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65954420371515,127.06070820347882,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65971648605628,127.06037444324768,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65955614389895,127.06054669652632,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,14
37.65954702,127.0611889,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,15
37.6594755242952,127.06144876212758,서울특별시 노원구 상계동 581-6,서울특별시 노원구 상계로1길 74,동진상가,,15
37.65926616535346,127.0613046633437,서울특별시 노원구 상계동 689-4,서울특별시 노원구 상계로1길 74,동진상가,,15
37.659709994542006,127.0609999523572,서울특별시 노원구 상계동 692-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,15
37.65976921583912,127.06125566378718,서울특별시 노원구 상계동 689-4,서울특별시 노원구 상계로1길 80,(우) 01694,,15
37.6596635126661,127.06112606139844,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,15
37.65954702,127.0619989,서울특별시 노원구 상계동 1310,서울특별시 노원구 상계로1길 82-14,비콘드림힐아파트,,16
37.65953054976671,127.06223347222291,서울특별시 노원구 상계동 1310,서울특별시 노원구 상계로1길 82-20,한신빌라,,16
37.65977947224022,127.06206552276905,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,16
37.65937614610311,127.06162190354364,서울특별시 노원구 상계동 581-6,서울특별시 노원구 상계로1길 74,동진상가,,16
37.65982648705852,127.06211934140671,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,16
37.65985907350035,127.06183420002716,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,16
37.65954702,127.0628089,서울특별시 노원구 상계동 690,서울특별시 노원구 상계로1길 82-20,한신빌라,,17
37.65940513312228,127.0625976437558,서울특별시 노원구 상계동 689-3,서울특별시 노원구 상계로3길 69,nozip,,17
37.65931797595647,127.06317904051969,서울특별시 노원구 상계동 690-3,서울특별시 노원구 노원로 487,흥안에너지,,17
37.65984716240526,127.06261720080973,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,17
37.65928073169408,127.06272215037993,서울특별시 노원구 상계동 690-3,서울특별시 노원구 노원로 487,흥안에너지,,17
37.6592343710621,127.0627461104944,서울특별시 노원구 상계동 690-3,서울특별시 노원구 노원로 487,흥안에너지,,17
37.65954702,127.0636189,서울특별시 노원구 상계동 690-1,서울특별시 노원구 노원로 493,원테크,,18
37.6595424571164,127.06399051117369,서울특별시 노원구 상계동 690-1,서울특별시 노원구 노원로 487,흥안에너지,,18
37.65927157548819,127.06368489900883,서울특별시 노원구 상계동 690-2,서울특별시 노원구 노원로 487,흥안에너지,,18
37.65972107766007,127.06321552888394,서울특별시 노원구 상계동 690,서울특별시 노원구 노원로 493,원테크,,18
37.65925749214572,127.06368045881702,서울특별시 노원구 상계동 690-2,서울특별시 노원구 노원로 487,흥안에너지,,18
37.65983056966769,127.06390422020188,서울특별시 노원구 상계동 689,서울특별시 노원구 노원로 493,원테크,,18
37.65954702,127.0644289,서울특별시 노원구 상계동 689,서울특별시 노원구 노원로 492,온곡중학교,,19
37.65965596579292,127.06461504874798,서울특별시 노원구 상계동 687,서울특별시 노원구 노원로 492,온곡중학교,,19
37.6595907049926,127.06424287810994,서울특별시 노원구 상계동 689,서울특별시 노원구 노원로 487,흥안에너지,,19
37.65984808040095,127.0645405015696,서울특별시 노원구 상계동 687,서울특별시 노원구 노원로 492,온곡중학교,,19
37.65933009691804,127.0646123865212,서울특별시 노원구 상계동 689,서울특별시 노원구 노원로34길 9,늘푸른어린이집,,19
37.659244580404106,127.06413659670962,서울특별시 노원구 상계동 690-2,서울특별시 노원구 노원로 487,흥안에너지,,19
37.65954702,127.0652389,서울특별시 노원구 상계동 410-29,서울특별시 노원구 노원로34길 9,nozip,,20
37.659538329953655,127.0654177542395,서울특별시 노원구 상계동 407-3,서울특별시 노원구 노원로34길 16,대한예수교장로회우광교회,,20
37.65924750930054,127.06507150809912,서울특별시 노원구 상계동 398-3,서울특별시 노원구 노원로 482,nozip,,20
37.65944002915815,127.06552081246976,서울특별시 노원구 상계동 402-1,서울특별시 노원구 상계로9길 39,상계초등학교,,20
37.65956112425116,127.06529810949267,서울특별시 노원구 상계동 410-29,서울특별시 노원구 노원로34길 16,nozip,,20
37.6595378241062,127.06496441174367,서울특별시 노원구 상계동 688,서울특별시 노원구 노원로34길 9,늘푸른어린이집,,20
37.65954702,127.0660489,서울특별시 노원구 상계동 402-1,서울특별시 노원구 상계로9길 39,상계초등학교,,21
37.65959969249019,127.06628923563618,서울특별시 노원구 상계동 404-2,서울특별시 노원구 상계로9길 39,상계초등학교,,21
37.65928268427852,127.0658453610635,서울특별시 노원구 상계동 402-1,서울특별시 노원구 상계로9길 39,상계초등학교,,21
37.65978855654223,127.0661477759854,서울특별시 노원구 상계동 403-3,서울특별시 노원구 한글비석로47길 99,nozip,,21
37.659695298293805,127.0657958131867,서울특별시 노원구 상계동 407-24,서울특별시 노원구 한글비석로47길 105,영도빌딩,,21
37.65955775940033,127.06567357618424,서울특별시 노원구 상계동 402-1,서울특별시 노원구 상계로9길 39,상계초등학교,,21
37.65954702,127.0668589,서울특별시 노원구 상계동 393-6,서울특별시 노원구 상계로17길 46,(우) 01685,,22
37.659537693604,127.0669206579462,서울특별시 노원구 상계동 393-12,서울특별시 노원구 상계로17길 42,서머힐어린이집,,22
37.65970128307444,127.06699060826594,서울특별시 노원구 상계동 393-11,서울특별시 노원구 상계로23길 57-19,이도빌라,,22
37.65964836594131,127.06654944119978,서울특별시 노원구 상계동 402-1,서울특별시 노원구 상계로9길 39,상계초등학교,,22
37.6598326951598,127.0670804118865,서울특별시 노원구 상계동 404-22,서울특별시 노원구 상계로17길 36-11,(우) 01685,,22
37.65971169889049,127.0666901660246,서울특별시 노원구 상계동 404-17,서울특별시 노원구 상계로17길 50,(우) 01685,,22
37.65954702,127.0676689,서울특별시 노원구 상계동 389-407,서울특별시 노원구 상계로9가길 39,e 편한마트,,23
37.659610352374266,127.067919102821,서울특별시 노원구 상계동 389-403,서울특별시 노원구 상계로9가길 43,(우) 01685,,23
37.659568686590205,127.06737502158076,서울특별시 노원구 상계동 389-414,서울특별시 노원구 상계로19길 38,nozip,,23
37.659505849494025,127.06804984039718,서울특별시 노원구 상계동 389-435,서울특별시 노원구 상계로9가길 42,(우) 01684,,23
37.659681874140695,127.0677414863142,서울특별시 노원구 상계동 389-401,서울특별시 노원구 상계로23길 42,(우) 01685,,23
37.65941047227032,127.0680490915389,서울특별시 노원구 상계동 389-435,서울특별시 노원구 상계로9가길 42,(우) 01684,,23
37.65954702,127.0684789,서울특별시 노원구 상계동 389-444,서울특별시 노원구 상계로23길 30-8,(우) 01684,,24
37.65941273156022,127.06844472630462,서울특별시 노원구 상계동 389-445,서울특별시 노원구 상계로23길 30-6,(우) 01684,,24
37.659413239676674,127.06819802295978,서울특별시 노원구 상계동 389-436,서울특별시 노원구 상계로23길 32,(우) 01684,,24
37.65931119128466,127.06887368088074,서울특별시 노원구 상계동 389-464,서울특별시 노원구 상계로23길 20-9,(우) 01684,,24
37.65980547133867,127.0686576029122,서울특별시 노원구 상계동 1318,서울특별시 노원구 상계로23다길 13-8,노원 아이파크,,24
37.659355518706825,127.06860369093884,서울특별시 노원구 상계동 389-429,서울특별시 노원구 상계로23길 26-6,nozip,,24
37.66017702,127.0579489,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,25
37.659948986028525,127.05783725860935,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,25
37.65990636974849,127.05823735096574,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,25
37.66042001641072,127.0576156242931,서울특별시 노원구 상계동 694,서울특별시 노원구 노원로 569,임광아파트,,25
37.66037492531084,127.0579369851829,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,25
37.660274396257,127.05834616059865,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,25
37.66017702,127.0587589,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로 1473,대림상가,,26
37.660307107126165,127.059002452426,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,26
37.66042797384948,127.05883222656875,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로221길 22,대림아파트,,26
37.65992128358663,127.05893348387998,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1473,대림상가,,26
37.66013540474991,127.05881375028645,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1473,대림상가,,26
37.659992723628434,127.0583942983055,서울특별시 노원구 상계동 695,서울특별시 노원구 동일로221길 22,대림아파트,,26
37.66017702,127.0595689,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.66000648926923,127.05977177207689,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.66026619334826,127.05994342977507,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.66008039457163,127.05992689861174,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.660192418845305,127.0593742366592,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.66011613182049,127.05916876632372,서울특별시 노원구 상계동 694-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,27
37.66017702,127.0603789,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.65990111734381,127.06070583736802,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.66007960638168,127.06062711033094,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.65994058942586,127.0600851452786,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.66033994331398,127.06001840403304,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.66047848054171,127.0605298893686,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,28
37.66017702,127.0611889,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,29
37.6602546801738,127.06115433311744,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,29
37.66041244979377,127.06103524604576,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,29
37.65998392248095,127.0608850860183,서울특별시 노원구 상계동 692-1,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,29
37.66030444667643,127.06091383758972,서울특별시 노원구 상계동 692,서울특별시 노원구 동일로 1456,상계주공7단지아파트,,29
37.66009504654417,127.06154987416862,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,29
37.66017702,127.0619989,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.66030333029151,127.06167703798192,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.66011353578644,127.06168743362836,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.66023620821122,127.06182649311825,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.6601176135131,127.06170030376865,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.66002670836015,127.06229893564132,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,30
37.66017702,127.0628089,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,31
37.66003421193704,127.06281907523172,서울특별시 노원구 상계동 691,서울특별시 노원구 상계로1길 92,상계주공7단지아파트,,31
